date,BNB,BTC,ECU,MLC,TRX,USD,USDT_TRC20,EUR_USD_pair,spread_USD_EUR,spread_USD_MLC,spread_USD_USDT
2021-01-01,,,46.0,,,40.0,34.166666666666664,1.15,-6.0,,5.8333
2021-01-02,,,46.5,,,40.0,100.0,1.1625,-6.5,,-60.0
2021-01-03,,1.0,45.0,38.75,,40.0,100.0,1.125,-5.0,1.25,-60.0
2021-01-04,,43.0,44.0,40.0,30.0,41.875,50.0,1.050746,-2.125,1.875,-8.125
2021-01-05,,43.0,46.0,40.0,30.0,41.0,50.0,1.121951,-5.0,1.0,-9.0
2021-01-06,,36.75,46.0,41.0,30.0,40.0,50.0,1.15,-6.0,-1.0,-10.0
2021-01-07,,38.0,45.0,40.0,30.0,40.0,100.0,1.125,-5.0,0.0,-60.0
2021-01-08,,50.0,46.0,42.0,30.0,40.25,35.5,1.142857,-5.75,-1.75,4.75
2021-01-09,,50.0,47.0,40.5,30.0,41.0,50.0,1.146341,-6.0,0.5,-9.0
2021-01-10,,60.0,47.0,41.0,30.0,42.0,50.0,1.119048,-5.0,1.0,-8.0
2021-01-11,,100.0,47.0,43.0,30.0,42.0,50.0,1.119048,-5.0,-1.0,-8.0
2021-01-12,,38.0,47.0,43.0,30.0,43.0,36.0,1.093023,-4.0,0.0,7.0
2021-01-13,,40.0,49.0,42.0,30.0,42.5,40.0,1.152941,-6.5,0.5,2.5
2021-01-14,,42.0,48.0,42.0,30.0,43.0,43.75,1.116279,-5.0,1.0,-0.75
2021-01-15,,55.0,50.0,43.0,30.0,43.0,36.0,1.162791,-7.0,0.0,7.0
2021-01-16,38.0,38.25,50.0,44.0,30.0,44.0,36.0,1.136364,-6.0,0.0,8.0
2021-01-17,38.0,38.25,50.0,44.0,30.0,44.0,43.75,1.136364,-6.0,0.0,0.25
2021-01-18,38.0,38.0,55.0,44.0,30.0,45.0,37.25,1.222222,-10.0,1.0,7.75
2021-01-19,38.0,60.0,50.0,45.0,30.0,45.0,39.0,1.111111,-5.0,0.0,6.0
2021-01-20,38.0,47.0,55.0,45.0,30.0,45.5,100.0,1.208791,-9.5,0.5,-54.5
2021-01-21,38.0,43.0,53.0,45.0,30.0,45.0,50.0,1.177778,-8.0,0.0,-5.0
2021-01-22,38.0,45.0,52.0,45.0,100.0,45.0,50.0,1.155556,-7.0,0.0,-5.0
2021-01-23,38.0,42.0,52.0,45.0,100.0,46.0,35.08399366085578,1.130435,-6.0,1.0,10.916
2021-01-24,38.0,40.5,51.5,45.0,100.0,46.0,36.0,1.119565,-5.5,1.0,10.0
2021-01-25,38.0,40.5,55.0,46.0,100.0,45.75,36.0,1.202186,-9.25,-0.25,9.75
2021-01-26,38.0,55.0,53.0,45.75,100.0,46.5,36.0,1.139785,-6.5,0.75,10.5
2021-01-27,38.0,55.0,54.0,46.75,100.0,46.0,36.0,1.173913,-8.0,-0.75,10.0
2021-01-28,38.0,41.0,55.0,46.5,100.0,46.0,38.0,1.195652,-9.0,-0.5,8.0
2021-01-29,38.0,42.5,55.0,46.0,50.0,46.0,45.0,1.195652,-9.0,0.0,1.0
2021-01-30,38.0,42.5,55.0,46.0,50.0,46.5,50.0,1.182796,-8.5,0.5,-3.5
2021-01-31,38.0,42.5,53.25,46.0,50.0,47.0,50.0,1.132979,-6.25,1.0,-3.0
2021-02-01,38.0,42.0,54.0,46.5,50.0,47.0,60.0,1.148936,-7.0,0.5,-13.0
2021-02-02,38.0,42.0,55.0,47.0,50.0,47.0,46.0,1.170213,-8.0,0.0,1.0
2021-02-03,38.0,43.0,55.0,47.0,50.0,47.0,46.0,1.170213,-8.0,0.0,1.0
2021-02-04,38.0,44.0,54.0,47.0,50.0,47.0,40.0,1.148936,-7.0,0.0,7.0
2021-02-05,38.0,45.0,54.0,47.0,50.0,47.0,44.0,1.148936,-7.0,0.0,3.0
2021-02-06,38.0,45.0,55.0,47.0,50.0,47.0,42.5,1.170213,-8.0,0.0,4.5
2021-02-07,38.0,44.0,54.5,47.0,22.0,47.0,40.25,1.159574,-7.5,0.0,6.75
2021-02-08,38.0,44.0,55.0,47.0,22.0,47.0,43.0,1.170213,-8.0,0.0,4.0
