date,coin,open,high,low,close,mean,median,std,count
2025-07-16,CLASICA,1.075766,1.075766,1.063685,1.067018,1.068135,1.064970,0.005404,13
2025-07-17,CLASICA,1.067018,1.068501,1.050203,1.053974,1.057732,1.057123,0.004862,48
2025-07-18,CLASICA,1.056783,1.081726,0.523988,1.062923,1.029134,1.060753,0.132849,47
2025-07-19,CLASICA,1.062923,1.062923,1.049649,1.056593,1.056779,1.058506,0.003654,48
2025-07-20,CLASICA,1.055753,1.057064,1.032447,1.057064,1.048535,1.050363,0.007517,48
2025-07-21,CLASICA,1.057064,1.065099,0.529472,1.060456,1.033193,1.052677,0.106226,48
2025-07-22,CLASICA,1.060456,1.062506,0.526158,1.043384,0.936494,1.060439,0.224752,48
2025-07-23,CLASICA,1.043384,1.056590,1.040012,1.052927,1.045437,1.042480,0.005135,48
2025-07-24,CLASICA,1.054025,1.056542,1.046129,1.048115,1.052944,1.052840,0.001957,48
2025-07-25,CLASICA,1.046729,1.047467,1.036997,1.042629,1.042870,1.042607,0.002469,48
2025-07-26,CLASICA,1.047027,1.047027,0.517064,0.520740,0.889302,1.043120,0.240090,48
2025-07-27,CLASICA,0.520740,1.038333,0.516200,1.038333,0.650231,0.520740,0.226462,48
2025-07-28,CLASICA,1.038333,1.055815,0.515012,1.050815,1.021225,1.043345,0.106838,48
2025-07-29,CLASICA,1.049081,1.049081,1.033331,1.038979,1.043928,1.046232,0.004966,48
2025-07-30,CLASICA,1.040701,1.043521,0.530085,0.530085,0.985992,1.039874,0.159007,47
2025-07-31,CLASICA,0.530085,1.048722,0.528846,1.042149,0.795870,1.034427,0.257805,48
2025-08-01,CLASICA,1.042149,1.046496,1.023372,1.046496,1.035450,1.034567,0.006246,48
2025-08-02,CLASICA,1.046496,1.052517,1.036107,1.036107,1.048030,1.050111,0.004401,48
2025-08-03,CLASICA,1.037406,1.038321,1.021399,1.031107,1.034327,1.037406,0.004755,48
2025-08-04,CLASICA,1.031107,1.053141,0.520979,1.040190,1.025272,1.031107,0.074812,48
2025-08-05,CLASICA,1.040184,1.043540,1.031808,1.041630,1.038248,1.038561,0.002807,47
2025-08-06,CLASICA,1.040950,1.043393,1.021325,1.030819,1.035381,1.040498,0.006644,47
2025-08-07,CLASICA,1.035819,1.055357,1.034491,1.038896,1.039668,1.038958,0.005085,48
2025-08-08,CLASICA,1.038896,1.042410,1.033546,1.034756,1.038263,1.038952,0.002578,48
2025-08-09,CLASICA,1.034756,1.041530,1.019451,1.041530,1.035327,1.034462,0.004496,48
2025-08-10,CLASICA,1.041530,1.057485,0.510278,0.518333,0.898549,1.040120,0.236979,48
2025-08-11,CLASICA,0.518333,1.039004,0.518333,1.035049,0.751848,0.526429,0.256682,47
2025-08-12,CLASICA,1.035049,1.035920,1.030175,1.032036,1.033864,1.034447,0.001728,48
2025-08-13,CLASICA,1.032036,1.040462,1.020562,1.040462,1.032629,1.031236,0.004589,48
2025-08-14,CLASICA,1.040462,1.046122,1.038029,1.046018,1.041597,1.040358,0.002482,48
2025-08-15,CLASICA,1.046018,1.046653,0.525186,1.032945,1.008800,1.045186,0.126871,47
2025-08-16,CLASICA,1.032945,1.052566,0.522865,1.049876,0.996317,1.032945,0.145969,47
2025-08-17,CLASICA,1.049876,1.055663,0.523355,1.043356,1.006676,1.050654,0.147279,48
2025-08-18,CLASICA,1.043356,1.049033,0.513055,1.049033,0.921917,1.043356,0.223642,48
2025-08-19,CLASICA,1.049033,1.063146,1.030839,1.042056,1.047360,1.049033,0.006742,48
2025-08-20,CLASICA,1.041159,1.050932,1.022293,1.036885,1.038101,1.039707,0.005373,48
2025-08-21,CLASICA,1.037510,1.057117,1.034164,1.056250,1.046503,1.048752,0.007845,48
2025-08-22,CLASICA,1.056720,1.059410,0.529422,1.049539,0.999758,1.055679,0.161155,48
2025-08-23,CLASICA,1.044912,1.068807,1.044912,1.067714,1.054020,1.045334,0.009939,48
2025-08-24,CLASICA,1.067714,1.068264,1.052825,1.053508,1.062723,1.063370,0.004755,48
2025-08-25,CLASICA,1.053890,1.065932,0.525312,1.063275,0.956265,1.055149,0.211142,47
2025-08-26,CLASICA,1.063275,1.063729,1.050467,1.062538,1.059820,1.062185,0.004034,48
2025-08-27,CLASICA,1.062538,1.078528,1.062538,1.074553,1.070423,1.072177,0.006171,44
2025-08-28,CLASICA,1.075147,1.088108,1.059957,1.061272,1.074559,1.079993,0.008800,47
2025-08-29,CLASICA,1.061272,1.061272,0.515464,1.050804,1.012396,1.057597,0.148775,36
2025-08-30,CLASICA,1.052103,1.074379,1.041524,1.074379,1.056421,1.052103,0.010384,48
2025-08-31,CLASICA,1.059510,1.067363,1.040031,1.067363,1.057413,1.059510,0.009593,47
2025-09-01,CLASICA,1.067385,1.067385,0.520045,1.065000,0.975332,1.067385,0.205770,48
2025-09-02,CLASICA,1.063938,1.063938,1.027524,1.027524,1.052480,1.061120,0.013811,48
2025-09-03,CLASICA,1.039410,1.043092,0.527392,1.031863,0.953272,1.039410,0.192210,48
2025-09-04,CLASICA,1.040263,1.050978,0.521554,0.521554,0.934949,1.040263,0.213181,48
2025-09-05,CLASICA,0.521554,0.533430,0.508961,0.533430,0.522360,0.522192,0.007938,48
