date,coin,open,high,low,close,mean,median,std,count
2025-11-18,ETECSA,153.216260,153.510335,153.216260,153.321368,153.360191,153.321368,0.111215,20
2025-11-19,ETECSA,153.309585,155.741694,153.255486,154.682969,153.959828,153.607769,0.715908,140
2025-11-20,ETECSA,154.073209,154.520102,153.232357,154.271059,154.117596,154.256897,0.282646,139
2025-11-21,ETECSA,154.271059,159.642186,154.228940,158.678593,156.658756,156.214001,1.964625,141
2025-11-22,ETECSA,159.108562,161.566460,158.506930,161.488658,159.636759,159.596559,1.031674,108
2025-11-23,ETECSA,161.895761,164.579331,160.059960,164.579331,161.705296,161.642411,1.195315,97
2025-11-24,ETECSA,164.579331,164.963702,158.570867,159.251794,161.007763,160.358989,2.163191,135
2025-11-25,ETECSA,159.477653,159.809101,157.768821,158.182996,158.911509,159.064339,0.714806,140
2025-11-26,ETECSA,157.675921,165.778222,157.675921,165.731179,162.442452,162.571557,1.800338,132
2025-11-27,ETECSA,165.731179,169.639597,165.597155,167.551546,166.836428,166.131164,1.351701,143
2025-11-28,ETECSA,167.636367,168.132445,165.609324,167.950131,166.830567,166.786818,0.751768,137
2025-11-29,ETECSA,168.676794,179.962881,167.796695,179.962881,171.712091,169.498005,3.798204,142
2025-11-30,ETECSA,179.962881,181.010482,176.584293,176.623501,178.169939,177.870256,1.192019,140
2025-12-01,ETECSA,176.407207,176.407207,167.465001,167.817581,172.205532,172.298352,1.803750,140
2025-12-02,ETECSA,171.791423,177.762159,171.757955,177.642428,174.003572,173.807909,1.519058,140
2025-12-03,ETECSA,177.894769,178.480176,174.943889,175.804850,176.872133,176.868567,0.919416,142
2025-12-04,ETECSA,175.804850,176.334501,172.526843,173.299427,174.939093,175.236379,1.161630,137
2025-12-05,ETECSA,173.299427,175.846649,171.861763,173.959979,173.362745,173.276507,0.848793,137
2025-12-06,ETECSA,174.060898,174.295654,171.843440,173.265471,172.794085,172.626419,0.548113,142
2025-12-07,ETECSA,172.045295,174.673058,168.970586,174.410376,172.184456,172.265062,1.340980,141
2025-12-08,ETECSA,174.280446,177.337398,173.611095,176.611516,174.814362,174.329360,1.155045,142
2025-12-09,ETECSA,176.661231,179.242931,175.838785,178.762500,177.406214,177.175194,0.843794,140
2025-12-10,ETECSA,178.735843,178.973703,172.344906,172.460632,176.576903,177.600998,2.228674,142
2025-12-11,ETECSA,172.325252,172.435834,168.117935,168.942647,169.719017,169.155597,1.208743,143
2025-12-12,ETECSA,168.942647,175.885709,168.942647,175.885709,171.858493,171.050109,1.875331,138
2025-12-13,ETECSA,175.316142,177.605812,174.872871,177.195161,176.214595,176.085093,0.911572,143
2025-12-14,ETECSA,176.903833,176.903833,174.530111,174.792778,175.627640,175.454245,0.707113,143
2025-12-15,ETECSA,174.792778,174.967772,165.096357,165.334818,170.367944,171.319720,3.257069,144
2025-12-16,ETECSA,165.088650,165.122171,162.428549,162.543153,164.114134,164.308347,0.853641,144
2025-12-17,ETECSA,162.666683,164.291873,160.996429,163.128161,162.778530,162.665793,0.895583,144
2025-12-18,ETECSA,163.128161,163.248426,157.965016,159.781232,161.037826,161.422307,1.492254,141
2025-12-19,ETECSA,159.831369,160.480712,158.236149,160.377847,159.308208,159.282532,0.449402,143
2025-12-20,ETECSA,160.453242,161.145930,158.824640,158.824640,160.107402,160.031510,0.628244,142
2025-12-21,ETECSA,158.649201,158.759119,153.032297,154.066407,156.928594,157.402644,1.868880,141
2025-12-22,ETECSA,154.017086,156.707020,151.650354,155.900546,153.820706,153.584678,1.279374,143
2025-12-23,ETECSA,155.977966,164.788229,155.918452,164.788229,158.974353,157.132210,2.907216,143
2025-12-24,ETECSA,165.019331,173.320782,165.019331,173.320782,168.525704,167.121930,2.912525,144
2025-12-25,ETECSA,173.351717,178.250708,173.334335,177.602698,175.286660,173.992543,1.824247,143
2025-12-26,ETECSA,178.091304,182.782568,175.199858,182.782568,178.617549,178.121350,2.173614,143
2025-12-27,ETECSA,182.536931,186.713973,181.318583,181.842928,183.354021,182.906316,1.489811,144
2025-12-28,ETECSA,181.842928,184.224051,174.840916,175.541418,180.794150,181.668585,3.054378,142
2025-12-29,ETECSA,175.541418,176.901994,165.739669,165.739669,171.084228,171.154864,3.404893,143
2025-12-30,ETECSA,165.739669,210.278855,165.739669,210.159491,176.894790,169.521345,15.627515,143
2025-12-31,ETECSA,210.097364,212.756843,206.975114,207.720155,210.359991,210.670221,1.221793,143
2026-01-01,ETECSA,207.720155,207.720155,192.612517,193.390409,203.320124,206.451364,5.308968,143
2026-01-02,ETECSA,193.112565,195.938235,190.790584,194.426465,193.529185,193.748353,1.105364,144
2026-01-03,ETECSA,194.677977,199.805041,193.456362,199.485041,196.493205,196.037359,2.467474,143
2026-01-04,ETECSA,199.640057,199.640057,192.196838,192.978940,195.163759,195.737654,2.035926,95
2026-01-05,ETECSA,193.089479,193.861360,190.233642,191.124654,192.533882,192.514882,1.067236,144
2026-01-06,ETECSA,191.449439,193.828394,191.265614,191.758931,192.497957,192.253324,0.927277,143
2026-01-07,ETECSA,191.713363,193.750268,191.092277,192.487337,192.358595,192.437565,0.389616,143
2026-01-08,ETECSA,192.487337,192.500871,188.414005,191.232804,189.899974,189.628738,0.878552,143
2026-01-09,ETECSA,191.256104,196.755277,188.919787,196.600505,192.712642,192.016501,1.929956,143
2026-01-10,ETECSA,196.660836,196.935439,191.421882,192.296880,193.894799,193.620946,1.288802,143
2026-01-11,ETECSA,192.743248,193.690842,189.555174,193.572911,191.769042,191.973975,1.272469,143
2026-01-12,ETECSA,193.655689,193.957626,188.114164,188.909681,191.602506,192.116451,1.737847,143
2026-01-13,ETECSA,189.034634,189.034634,183.252404,183.252404,186.401300,186.616811,1.876465,143
2026-01-14,ETECSA,181.982163,185.280020,181.567249,183.291285,182.988746,183.135689,0.968259,143
2026-01-15,ETECSA,183.289978,183.851921,176.713630,178.235061,181.067050,181.741337,2.247000,143
2026-01-16,ETECSA,178.292385,178.292385,172.624406,172.624406,175.134682,174.099070,1.809995,142
2026-01-17,ETECSA,172.917334,175.157556,172.787183,173.363072,173.506103,173.517441,0.504167,143
2026-01-18,ETECSA,173.416910,176.256760,172.896054,175.171133,174.157265,174.073568,0.919015,143
2026-01-19,ETECSA,175.442240,178.465892,174.717545,176.646282,176.395135,176.497855,0.818062,143
2026-01-20,ETECSA,176.712666,178.446587,175.703868,177.325877,177.168036,176.848914,0.747988,142
