date,coin,open,high,low,close,mean,median,std,count
2025-12-17,TROPICAL,1.096480,1.097373,1.092128,1.096898,1.095788,1.096449,0.001366,121
2025-12-18,TROPICAL,1.096963,1.096963,1.081555,1.081555,1.090627,1.093710,0.004782,141
2025-12-19,TROPICAL,1.082246,1.082246,1.070497,1.073310,1.074855,1.073643,0.003149,143
2025-12-20,TROPICAL,1.074592,1.080870,1.073527,1.076867,1.076016,1.074600,0.002144,142
2025-12-21,TROPICAL,1.077346,1.077721,1.069337,1.069337,1.075380,1.076759,0.002587,141
2025-12-22,TROPICAL,1.069803,1.070661,1.064960,1.067867,1.068715,1.068889,0.001619,143
2025-12-23,TROPICAL,1.067867,1.068394,1.064826,1.067114,1.066710,1.067114,0.000969,143
2025-12-24,TROPICAL,1.066789,1.071126,1.055108,1.056398,1.062592,1.059829,0.005446,79
2025-12-25,TROPICAL,1.056398,1.058550,1.047450,1.055782,1.053912,1.055782,0.004240,143
2025-12-26,TROPICAL,1.055782,1.060203,1.049206,1.049206,1.053840,1.053679,0.003300,143
2025-12-27,TROPICAL,1.050351,1.050351,1.043470,1.044970,1.046972,1.046966,0.002379,144
2025-12-28,TROPICAL,1.044745,1.047229,1.041750,1.043722,1.044734,1.045166,0.001611,143
2025-12-29,TROPICAL,1.043605,1.047566,1.043605,1.045679,1.045061,1.045361,0.000842,143
2025-12-30,TROPICAL,1.046613,1.049329,1.045351,1.046660,1.047123,1.046864,0.000944,143
2025-12-31,TROPICAL,1.046087,1.046087,1.043972,1.044028,1.045150,1.045631,0.000760,142
2026-01-01,TROPICAL,1.044383,1.047773,1.043838,1.047773,1.044948,1.044666,0.000942,143
2026-01-02,TROPICAL,1.047773,1.049584,1.046512,1.049584,1.047743,1.047773,0.000859,144
2026-01-03,TROPICAL,1.049584,1.053923,1.049351,1.051125,1.050910,1.050045,0.001459,143
2026-01-04,TROPICAL,1.050838,1.050838,1.044158,1.045051,1.048040,1.049248,0.002215,95
2026-01-05,TROPICAL,1.045051,1.048642,1.043430,1.048313,1.045736,1.045254,0.001264,144
2026-01-06,TROPICAL,1.048010,1.050013,1.047059,1.050013,1.048296,1.048081,0.000701,143
2026-01-07,TROPICAL,1.050661,1.055840,1.049351,1.055840,1.051253,1.050560,0.001981,143
2026-01-08,TROPICAL,1.055504,1.055784,1.053125,1.055575,1.054254,1.054499,0.000902,143
2026-01-09,TROPICAL,1.055575,1.055946,1.048759,1.055946,1.053271,1.053852,0.001756,143
2026-01-10,TROPICAL,1.055946,1.057964,1.051597,1.057964,1.055192,1.055711,0.001581,143
2026-01-11,TROPICAL,1.059923,1.061752,1.059039,1.061752,1.060357,1.060411,0.000655,143
2026-01-12,TROPICAL,1.061752,1.065309,1.057758,1.059157,1.061409,1.061679,0.002013,143
2026-01-13,TROPICAL,1.059744,1.062363,1.058568,1.062363,1.059925,1.059635,0.000843,143
2026-01-14,TROPICAL,1.062363,1.067053,1.060704,1.067053,1.063334,1.063243,0.001887,143
2026-01-15,TROPICAL,1.067053,1.072627,1.065741,1.072627,1.067344,1.066833,0.001694,143
2026-01-16,TROPICAL,1.072683,1.072683,1.063402,1.065212,1.068008,1.069043,0.002717,142
2026-01-17,TROPICAL,1.065159,1.067413,1.062198,1.063460,1.065441,1.066592,0.001761,143
2026-01-18,TROPICAL,1.063460,1.063460,1.055554,1.055814,1.060912,1.061899,0.002303,143
2026-01-19,TROPICAL,1.056453,1.061658,1.054187,1.061658,1.056852,1.056665,0.001784,143
2026-01-20,TROPICAL,1.061496,1.065036,1.059462,1.061717,1.061384,1.061278,0.001249,142
2026-01-21,TROPICAL,1.062101,1.063358,1.059629,1.061791,1.062282,1.062587,0.000856,144
2026-01-22,TROPICAL,1.061791,1.061791,1.057161,1.060730,1.060399,1.061181,0.001282,143
2026-01-23,TROPICAL,1.059620,1.063454,1.055641,1.063454,1.060023,1.060105,0.001611,120
2026-01-24,TROPICAL,1.063454,1.066723,1.062363,1.066571,1.064377,1.064075,0.001009,144
2026-01-25,TROPICAL,1.067957,1.070559,1.064228,1.064228,1.067867,1.067957,0.001831,144
2026-01-26,TROPICAL,1.064228,1.065671,1.059059,1.059059,1.063485,1.064228,0.001801,141
2026-01-27,TROPICAL,1.058835,1.059833,1.050865,1.050986,1.055304,1.056851,0.002752,144
2026-01-28,TROPICAL,1.050986,1.051758,1.046442,1.047702,1.050383,1.050959,0.001438,144
2026-01-29,TROPICAL,1.047702,1.050120,1.044756,1.048719,1.048623,1.049359,0.001638,144
2026-01-30,TROPICAL,1.048872,1.050118,1.047493,1.049455,1.048755,1.048651,0.000647,144
2026-01-31,TROPICAL,1.049455,1.102251,1.049233,1.102251,1.058604,1.051015,0.017122,143
2026-02-01,TROPICAL,1.113240,1.114461,1.090388,1.096226,1.107515,1.113366,0.007914,144
2026-02-02,TROPICAL,1.096226,1.100780,1.035029,1.038907,1.076920,1.084849,0.018546,141
2026-02-03,TROPICAL,1.038839,1.040853,1.038537,1.040853,1.040082,1.040053,0.000453,99
2026-02-04,TROPICAL,1.040853,1.042086,1.038079,1.038079,1.040971,1.040853,0.000999,143
2026-02-05,TROPICAL,1.038145,1.038253,1.032106,1.032106,1.035769,1.036186,0.001266,144
2026-02-06,TROPICAL,1.032106,1.032632,1.025000,1.025000,1.029144,1.028568,0.001998,141
2026-02-07,TROPICAL,1.025000,1.050000,1.025000,1.050000,1.035295,1.025000,0.011403,144
2026-02-08,TROPICAL,1.050000,1.070000,1.050000,1.070000,1.069716,1.070000,0.002373,141
2026-02-09,TROPICAL,1.070000,1.070000,1.037895,1.037895,1.051636,1.047086,0.010256,126
2026-02-10,TROPICAL,1.043530,1.043676,1.043530,1.043676,1.043603,1.043603,0.000103,2
2026-02-11,TROPICAL,1.044834,1.044834,1.044264,1.044264,1.044615,1.044681,0.000256,4
2026-02-12,TROPICAL,1.041956,1.043945,1.041647,1.041647,1.042614,1.042607,0.000731,40
2026-02-13,TROPICAL,1.040773,1.040773,1.038350,1.040335,1.039509,1.039592,0.000494,144
2026-02-14,TROPICAL,1.040335,1.040971,1.035210,1.035860,1.039354,1.040385,0.001896,115
2026-02-15,TROPICAL,1.035478,1.038358,1.033986,1.037477,1.035841,1.035946,0.000787,141
2026-02-16,TROPICAL,1.037477,1.040655,1.036684,1.040470,1.038116,1.037486,0.001172,141
2026-02-17,TROPICAL,1.040470,1.045076,1.040298,1.045076,1.041791,1.040609,0.001661,143
2026-02-18,TROPICAL,1.045076,1.052424,1.045073,1.052424,1.047031,1.045604,0.002268,144
2026-02-19,TROPICAL,1.052407,1.052407,1.047486,1.048789,1.050521,1.050575,0.001032,144
2026-02-20,TROPICAL,1.048789,1.051845,1.047497,1.047497,1.049160,1.049117,0.000775,144
2026-02-21,TROPICAL,1.048028,1.056284,1.048028,1.055544,1.052664,1.052008,0.002073,143
2026-02-22,TROPICAL,1.055544,1.056581,1.054747,1.056448,1.055425,1.054986,0.000614,144
2026-02-23,TROPICAL,1.056045,1.061763,1.054310,1.061763,1.055991,1.055040,0.001943,144
2026-02-24,TROPICAL,1.061763,1.065440,1.057778,1.057778,1.061442,1.060584,0.001744,91
