datetime_utc,timestamp,coin,value
2025-07-16 18:40:33+00:00,1752691233,CLASICA,1.075766
2025-07-16 18:42:22+00:00,1752691342,CLASICA,1.075766
2025-07-16 18:43:25+00:00,1752691405,CLASICA,1.075766
2025-07-16 19:00:07+00:00,1752692407,CLASICA,1.075460
2025-07-16 19:30:06+00:00,1752694206,CLASICA,1.067881
2025-07-16 20:00:07+00:00,1752696007,CLASICA,1.064970
2025-07-16 20:30:07+00:00,1752697807,CLASICA,1.064705
2025-07-16 21:00:07+00:00,1752699607,CLASICA,1.063685
2025-07-16 21:30:06+00:00,1752701406,CLASICA,1.063685
2025-07-16 22:00:06+00:00,1752703206,CLASICA,1.063685
2025-07-16 22:30:07+00:00,1752705007,CLASICA,1.063685
2025-07-16 23:00:07+00:00,1752706807,CLASICA,1.063685
2025-07-16 23:30:07+00:00,1752708607,CLASICA,1.067018
2025-07-17 00:00:08+00:00,1752710408,CLASICA,1.067018
2025-07-17 00:30:06+00:00,1752712206,CLASICA,1.067018
2025-07-17 01:00:07+00:00,1752714007,CLASICA,1.068501
2025-07-17 01:30:06+00:00,1752715806,CLASICA,1.067237
2025-07-17 02:00:07+00:00,1752717607,CLASICA,1.064629
2025-07-17 02:30:07+00:00,1752719407,CLASICA,1.064629
2025-07-17 03:00:06+00:00,1752721206,CLASICA,1.064629
2025-07-17 03:30:06+00:00,1752723006,CLASICA,1.064629
2025-07-17 04:00:06+00:00,1752724806,CLASICA,1.060456
2025-07-17 04:30:06+00:00,1752726606,CLASICA,1.060456
2025-07-17 05:00:06+00:00,1752728406,CLASICA,1.060456
2025-07-17 05:30:06+00:00,1752730206,CLASICA,1.060456
2025-07-17 06:00:06+00:00,1752732006,CLASICA,1.060456
2025-07-17 06:30:06+00:00,1752733806,CLASICA,1.060456
2025-07-17 07:00:06+00:00,1752735606,CLASICA,1.060456
2025-07-17 07:30:06+00:00,1752737406,CLASICA,1.060456
2025-07-17 08:00:06+00:00,1752739206,CLASICA,1.060456
2025-07-17 08:30:13+00:00,1752741013,CLASICA,1.060456
2025-07-17 09:00:06+00:00,1752742806,CLASICA,1.060456
2025-07-17 09:30:06+00:00,1752744606,CLASICA,1.057123
2025-07-17 10:00:06+00:00,1752746406,CLASICA,1.057123
2025-07-17 10:30:06+00:00,1752748206,CLASICA,1.057123
2025-07-17 11:00:07+00:00,1752750007,CLASICA,1.057123
2025-07-17 11:30:06+00:00,1752751806,CLASICA,1.057123
2025-07-17 12:00:06+00:00,1752753606,CLASICA,1.057123
2025-07-17 12:30:07+00:00,1752755407,CLASICA,1.055142
2025-07-17 13:00:08+00:00,1752757208,CLASICA,1.055093
2025-07-17 13:30:06+00:00,1752759006,CLASICA,1.053474
2025-07-17 14:00:06+00:00,1752760806,CLASICA,1.056215
2025-07-17 14:30:06+00:00,1752762606,CLASICA,1.056215
2025-07-17 15:00:07+00:00,1752764407,CLASICA,1.052073
2025-07-17 15:30:08+00:00,1752766208,CLASICA,1.054339
2025-07-17 16:00:07+00:00,1752768007,CLASICA,1.051318
2025-07-17 16:30:06+00:00,1752769806,CLASICA,1.050477
2025-07-17 17:00:07+00:00,1752771607,CLASICA,1.050203
2025-07-17 17:30:07+00:00,1752773407,CLASICA,1.050203
2025-07-17 18:00:06+00:00,1752775206,CLASICA,1.053797
2025-07-17 18:30:07+00:00,1752777007,CLASICA,1.053797
2025-07-17 19:00:07+00:00,1752778807,CLASICA,1.058004
2025-07-17 19:30:07+00:00,1752780607,CLASICA,1.053631
2025-07-17 20:00:06+00:00,1752782406,CLASICA,1.054891
2025-07-17 20:30:07+00:00,1752784207,CLASICA,1.054891
2025-07-17 21:00:07+00:00,1752786007,CLASICA,1.052652
2025-07-17 21:30:07+00:00,1752787807,CLASICA,1.052780
2025-07-17 22:00:07+00:00,1752789607,CLASICA,1.053974
2025-07-17 22:30:06+00:00,1752791406,CLASICA,1.053974
2025-07-17 23:00:07+00:00,1752793207,CLASICA,1.053974
2025-07-17 23:30:06+00:00,1752795006,CLASICA,1.053974
2025-07-18 00:00:07+00:00,1752796807,CLASICA,1.056783
2025-07-18 00:30:07+00:00,1752798607,CLASICA,1.056783
2025-07-18 01:00:06+00:00,1752800406,CLASICA,1.056783
2025-07-18 02:00:07+00:00,1752804007,CLASICA,1.056783
2025-07-18 02:30:06+00:00,1752805806,CLASICA,1.056783
2025-07-18 03:00:06+00:00,1752807606,CLASICA,1.056783
2025-07-18 03:30:06+00:00,1752809406,CLASICA,1.056783
2025-07-18 04:00:06+00:00,1752811206,CLASICA,1.056783
2025-07-18 04:30:06+00:00,1752813006,CLASICA,1.056783
2025-07-18 05:00:07+00:00,1752814807,CLASICA,1.056783
2025-07-18 05:30:06+00:00,1752816606,CLASICA,1.056783
2025-07-18 06:00:07+00:00,1752818407,CLASICA,1.056783
2025-07-18 06:30:06+00:00,1752820206,CLASICA,1.056783
2025-07-18 07:00:06+00:00,1752822006,CLASICA,1.056783
2025-07-18 07:30:06+00:00,1752823806,CLASICA,1.056783
2025-07-18 08:00:06+00:00,1752825606,CLASICA,1.056783
2025-07-18 08:30:06+00:00,1752827406,CLASICA,1.056783
2025-07-18 09:00:06+00:00,1752829206,CLASICA,1.055847
2025-07-18 09:30:06+00:00,1752831006,CLASICA,1.060753
2025-07-18 10:00:06+00:00,1752832806,CLASICA,1.059803
2025-07-18 10:30:06+00:00,1752834606,CLASICA,1.059803
2025-07-18 11:00:06+00:00,1752836406,CLASICA,1.061575
2025-07-18 11:30:06+00:00,1752838206,CLASICA,1.061575
2025-07-18 12:00:06+00:00,1752840006,CLASICA,1.076575
2025-07-18 12:30:05+00:00,1752841805,CLASICA,1.081726
2025-07-18 13:00:06+00:00,1752843606,CLASICA,1.081726
2025-07-18 13:30:06+00:00,1752845406,CLASICA,1.081726
2025-07-18 14:00:06+00:00,1752847206,CLASICA,1.074267
2025-07-18 14:30:06+00:00,1752849006,CLASICA,1.074267
2025-07-18 15:00:07+00:00,1752850807,CLASICA,0.529325
2025-07-18 15:30:07+00:00,1752852607,CLASICA,0.526488
2025-07-18 16:00:06+00:00,1752854406,CLASICA,0.523988
2025-07-18 16:30:06+00:00,1752856206,CLASICA,1.060936
2025-07-18 17:00:06+00:00,1752858006,CLASICA,1.073277
2025-07-18 17:30:06+00:00,1752859806,CLASICA,1.071640
2025-07-18 18:00:06+00:00,1752861606,CLASICA,1.064761
2025-07-18 18:30:06+00:00,1752863406,CLASICA,1.064761
2025-07-18 19:00:06+00:00,1752865206,CLASICA,1.066695
2025-07-18 19:30:06+00:00,1752867006,CLASICA,1.066695
2025-07-18 20:00:07+00:00,1752868807,CLASICA,1.066695
2025-07-18 20:30:07+00:00,1752870607,CLASICA,1.069596
2025-07-18 21:00:06+00:00,1752872406,CLASICA,1.069592
2025-07-18 21:30:07+00:00,1752874207,CLASICA,1.067523
2025-07-18 22:00:06+00:00,1752876006,CLASICA,1.062942
2025-07-18 22:30:06+00:00,1752877806,CLASICA,1.063250
2025-07-18 23:00:06+00:00,1752879606,CLASICA,1.063250
2025-07-18 23:30:06+00:00,1752881406,CLASICA,1.062923
2025-07-19 00:00:07+00:00,1752883207,CLASICA,1.062923
2025-07-19 00:30:06+00:00,1752885006,CLASICA,1.062923
2025-07-19 01:00:07+00:00,1752886807,CLASICA,1.062334
2025-07-19 01:30:06+00:00,1752888606,CLASICA,1.062334
2025-07-19 02:00:06+00:00,1752890406,CLASICA,1.062334
2025-07-19 02:30:06+00:00,1752892206,CLASICA,1.058663
2025-07-19 03:00:06+00:00,1752894006,CLASICA,1.058663
2025-07-19 03:30:06+00:00,1752895806,CLASICA,1.058663
2025-07-19 04:00:06+00:00,1752897606,CLASICA,1.058915
2025-07-19 04:30:06+00:00,1752899406,CLASICA,1.058915
2025-07-19 05:00:06+00:00,1752901206,CLASICA,1.058915
2025-07-19 05:30:06+00:00,1752903006,CLASICA,1.058915
2025-07-19 06:00:06+00:00,1752904806,CLASICA,1.058915
2025-07-19 06:30:05+00:00,1752906605,CLASICA,1.058915
2025-07-19 07:00:06+00:00,1752908406,CLASICA,1.058915
2025-07-19 07:30:05+00:00,1752910205,CLASICA,1.058915
2025-07-19 08:00:06+00:00,1752912006,CLASICA,1.058915
2025-07-19 08:30:05+00:00,1752913805,CLASICA,1.058915
2025-07-19 09:00:06+00:00,1752915606,CLASICA,1.058915
2025-07-19 09:30:05+00:00,1752917405,CLASICA,1.058915
2025-07-19 10:00:06+00:00,1752919206,CLASICA,1.058915
2025-07-19 10:30:06+00:00,1752921006,CLASICA,1.058915
2025-07-19 11:00:06+00:00,1752922806,CLASICA,1.058915
2025-07-19 11:30:05+00:00,1752924605,CLASICA,1.058915
2025-07-19 12:00:07+00:00,1752926407,CLASICA,1.058350
2025-07-19 12:30:06+00:00,1752928206,CLASICA,1.056311
2025-07-19 13:00:06+00:00,1752930006,CLASICA,1.056966
2025-07-19 13:30:06+00:00,1752931806,CLASICA,1.056186
2025-07-19 14:00:06+00:00,1752933606,CLASICA,1.056472
2025-07-19 14:30:07+00:00,1752935407,CLASICA,1.056472
2025-07-19 15:00:06+00:00,1752937206,CLASICA,1.056418
2025-07-19 15:30:06+00:00,1752939006,CLASICA,1.055026
2025-07-19 16:00:06+00:00,1752940806,CLASICA,1.055026
2025-07-19 16:30:06+00:00,1752942606,CLASICA,1.051315
2025-07-19 17:00:06+00:00,1752944406,CLASICA,1.050624
2025-07-19 17:30:06+00:00,1752946206,CLASICA,1.049649
2025-07-19 18:00:06+00:00,1752948006,CLASICA,1.052809
2025-07-19 18:30:06+00:00,1752949806,CLASICA,1.050343
2025-07-19 19:00:06+00:00,1752951606,CLASICA,1.050343
2025-07-19 19:30:06+00:00,1752953406,CLASICA,1.050338
2025-07-19 20:00:06+00:00,1752955206,CLASICA,1.051053
2025-07-19 20:30:06+00:00,1752957006,CLASICA,1.050634
2025-07-19 21:00:07+00:00,1752958807,CLASICA,1.053272
2025-07-19 21:30:06+00:00,1752960606,CLASICA,1.053272
2025-07-19 22:00:06+00:00,1752962406,CLASICA,1.053272
2025-07-19 22:30:06+00:00,1752964206,CLASICA,1.056593
2025-07-19 23:00:06+00:00,1752966006,CLASICA,1.056593
2025-07-19 23:30:06+00:00,1752967806,CLASICA,1.056593
2025-07-20 00:00:06+00:00,1752969606,CLASICA,1.055753
2025-07-20 00:30:06+00:00,1752971406,CLASICA,1.052962
2025-07-20 01:00:06+00:00,1752973206,CLASICA,1.052962
2025-07-20 01:30:06+00:00,1752975006,CLASICA,1.052962
2025-07-20 02:00:06+00:00,1752976806,CLASICA,1.052962
2025-07-20 02:30:06+00:00,1752978606,CLASICA,1.052962
2025-07-20 03:00:06+00:00,1752980406,CLASICA,1.052962
2025-07-20 03:30:06+00:00,1752982206,CLASICA,1.052962
2025-07-20 04:00:06+00:00,1752984006,CLASICA,1.052962
2025-07-20 04:30:06+00:00,1752985806,CLASICA,1.052962
2025-07-20 05:00:06+00:00,1752987606,CLASICA,1.052962
2025-07-20 05:30:06+00:00,1752989406,CLASICA,1.052962
2025-07-20 06:00:06+00:00,1752991206,CLASICA,1.052962
